OBJECTID *,Shape *,OBJECTID *,uid,BOROUGH,BLOCK,LOT,BBL,MAPBBL,CD,HNUM,SNAME,ADDRESS,PARCELNAME,AGENCY,USECODE,USETYPE,OWNERSHIP,CATEGORY,EXPANDCAT,EXCATDESC,LEASED,FINALCOM,AGREEMENT,XCOORD,YCOORD,LATITUDE,LONGITUDE,DCPEDITED
747,Point,875,e9b0b7422fa3dce678e3e42925218cbe,4,13433,69,4134330069,4134330069,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049718,178285,40.655786,-73.764049,<Null>
748,Point,895,eeb348f9babda5528e911bc8b73ffe36,4,13433,45,4134330045,4134330045,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049814,177943,40.654847,-73.763706,<Null>
749,Point,899,efae7e9807cc89c4e9c7d87d4afbbe5d,4,13433,36,4134330036,4134330036,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049821,178139,40.655385,-73.763679,<Null>
750,Point,900,efc64c49b6a1293463662e32404060bf,4,2599,49,4025990049,4025990049,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1008542,201831,40.720623,-73.912365,<Null>
751,Point,902,f011d8f16b663e57a9066c38025dd938,4,14260,144,4142600144,4142600144,483,<Null>,SOUTH CONDUIT BOULEVARD,SOUTH CONDUIT BOULEVARD,PARK,DOT,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1030808,181581,40.664953,-73.832179,<Null>
752,Point,915,f427339a0c23471d1718a67ffbf1d1f1,4,13433,55,4134330055,4134330055,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049746,177992,40.654982,-73.763951,<Null>
753,Point,916,f457125767444867331a72ab327df89f,4,10059,10,4100590010,4100590010,412,14726,105 AVENUE,14726 105 AVENUE,<Null>,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,D,<Null>,1038919,192933,40.696065,-73.80285,<Null>
758,Point,955,fd21b0b4c2399350254bb9142e0e046c,4,2575,244,4025750244,4025750244,402,<Null>,49 LANE,49 LANE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006979,202899,40.723559,-73.918,<Null>
760,Point,965,ff817f6007ac697876493f7dfd95165c,4,276,46,4002760046,4002760046,402,<Null>,QUEENS BOULEVARD,QUEENS BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1002574,210976,40.745738,-73.93387,<Null>
761,Point,967,ff9e665a333cf970cd8b52ddd98cc5fa,4,13433,29,4134330029,4134330029,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049903,178139,40.655384,-73.763384,<Null>
766,Point,31,0790c88abcbb66f07cc6aa2a7a3aa7f3,4,13432,23,4134320023,4134320023,413,<Null>,150 AVENUE,150 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049957,178524,40.65644,-73.763185,<Null>
767,Point,36,07f380ab2b370c7d8786ccbaad0509fb,4,13433,35,4134330035,4134330035,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049833,177978,40.654943,-73.763638,<Null>
772,Point,113,1aa256c00d1d5f6bdd5484fc6eafad67,4,13433,5,4134330005,4134330005,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049767,178366,40.656008,-73.763872,<Null>
773,Point,118,1c659d9e664ee2cb667b8a962d699e0b,4,2545,54,4025450054,4025450054,402,<Null>,48 STREET,48 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006617,205498,40.730693,-73.919297,<Null>
774,Point,121,1d073fea99d406fbe474701472278874,4,312,17,4003120017,4003120017,402,<Null>,LAUREL HILL BOULEVARD,LAUREL HILL BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1001212,206622,40.73379,-73.938796,<Null>
775,Point,131,1fde83f9cdbb8a728cef5edb9930e422,4,14260,85,4142600085,4142600085,413,<Null>,<Null>,<Null>,<Null>,DSBS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1045728,180682,40.662394,-73.778407,<Null>
776,Point,136,20859cdc952def322c0a3b361a8d600e,4,2602,325,4026020325,4026020325,405,<Null>,49 PLACE,49 PLACE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006171,201822,40.720605,-73.920919,<Null>
779,Point,160,25bf944bd80c1c1964b0e39ac7da2f1b,4,13433,23,4134330023,4134330023,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049943,178228,40.655628,-73.763239,<Null>
782,Point,193,2c1d5a43c4c8283ddfd88972a2449528,4,13433,15,4134330015,4134330015,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049885,178277,40.655763,-73.763447,<Null>
783,Point,202,3026f3316ac8f3bb3b03d2c3eb432813,4,2599,45,4025990045,4025990045,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1008519,201869,40.720727,-73.912448,<Null>
787,Point,240,3b773cf366994226017a5671bcd504dd,4,13432,26,4134320026,4134320026,413,<Null>,150 AVENUE,150 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049993,178508,40.656396,-73.763056,<Null>
788,Point,256,3e641eabe9ffa645be788e0dbdfee437,4,13432,59,4134320059,4134320059,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049700,178528,40.656453,-73.764112,<Null>
789,Point,259,3ee1b2e4331c6b06644be82117b15090,4,13419,1,4134190001,4134190001,413,18112,150 DRIVE,18112 150 DRIVE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049398,178167,40.655465,-73.765203,<Null>
790,Point,261,3f3859283b7baf5720707cb081bf6a7a,4,13432,28,4134320028,4134320028,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1050063,178509,40.656398,-73.762803,<Null>
792,Point,266,4101e302b80b0e808c13f9eea8dedb76,4,13433,20,4134330020,4134330020,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049971,178289,40.655795,-73.763137,<Null>
793,Point,291,49728c2c767b45513ec3d61b01a2094f,4,13432,20,4134320020,4134320020,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049887,178541,40.656488,-73.763437,<Null>
797,Point,322,534de2ab82331ea2f7034400325029a9,4,2575,58,4025750058,4025750058,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006598,203789,40.726002,-73.919372,<Null>
799,Point,340,584d5e7f2ec60bb8473c7e34cef002e5,4,13433,10,4134330010,4134330010,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049827,178318,40.655876,-73.763656,<Null>
801,Point,343,58f76f538925263f360033fba8e21b85,4,2552,142,4025520142,4025520142,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006238,203812,40.726067,-73.92067,<Null>
802,Point,353,5b5f443b1bf306ecb9c020a5a48c8053,4,2611,80,4026110080,4026110080,405,<Null>,GRAND AVENUE,GRAND AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1005797,200311,40.716458,-73.922273,<Null>
803,Point,355,5bedc0ceb93ebd5a2fb22c0f4d19e133,4,2575,70,4025750070,4025750070,402,3,56 ROAD,3 56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006968,203697,40.725749,-73.918037,<Null>
804,Point,357,5d25437af6fa3b845f9ec2601ec1105f,4,1210,34,4012100034,4012100034,402,<Null>,38 AVENUE,38 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1009985,212396,40.749617,-73.907119,<Null>
806,Point,382,642349c40cea2caa8a9cb7d0ded9e537,4,13433,2,4134330002,4134330002,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049712,178402,40.656107,-73.764069,<Null>
807,Point,387,6534948273312d06dcb3ea34aa69dc8a,4,2552,100,4025520100,4025520100,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1005655,203954,40.726458,-73.922773,<Null>
809,Point,402,6b98ac877eb5a03bce43236f4ef21c51,4,13432,67,4134320067,4134320067,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049642,178527,40.656451,-73.764321,<Null>
810,Point,434,746443541e42448265708ba7ede00768,4,2622,100,4026220100,4026220100,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1009171,200923,40.718129,-73.910099,<Null>
811,Point,452,78b7add6d719b90b1de4b3a4a0512b8b,4,13432,65,4134320065,4134320065,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049666,178519,40.656429,-73.764234,<Null>
819,Point,545,8d4689ecd24c9efa620d3fac2f9a4321,4,13433,41,4134330041,4134330041,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049829,177943,40.654847,-73.763652,<Null>
823,Point,568,93427df100769e290d02af38657408e9,4,1210,33,4012100033,4012100033,402,<Null>,56 STREET,56 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1010069,212339,40.749461,-73.906816,<Null>
824,Point,583,9645253dcdf975b0d29858cc59be8353,4,13432,21,4134320021,4134320021,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049919,178536,40.656474,-73.763322,<Null>
829,Point,616,9de0dd3f7bb6cafec16ecd39673c1f11,4,2575,75,4025750075,4025750075,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1007019,203678,40.725697,-73.917853,<Null>
831,Point,669,ad721ee75d271c239b200279430b02cd,4,13433,34,4134330034,4134330034,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049869,178051,40.655143,-73.763507,<Null>
838,Point,742,c068e4d248e11ce79a91553c48658a37,4,13433,57,4134330057,4134330057,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049744,178038,40.655108,-73.763958,<Null>
840,Point,749,c20b36114b315d4af3377b1b1eccf44d,4,10352,98,4103520098,4103520098,412,<Null>,JAMAICA AVENUE,JAMAICA AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1046939,197875,40.709576,-73.773882,<Null>
841,Point,752,c2cdc7d7fc093deef02ee10bf25808b8,4,13433,59,4134330059,4134330059,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049737,178082,40.655229,-73.763982,<Null>
843,Point,766,c4dda171572cea7820e469e8c7f4fc37,4,13420,8,4134200008,4134200008,413,<Null>,ROCKAWAY BOULEV,ROCKAWAY BOULEV,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049611,177954,40.654878,-73.764438,<Null>
845,Point,777,ca36a612d4421b99ad071f4d45f2fbf6,4,70,45,4000700045,4000700045,402,<Null>,51 AVENUE,51 AVENUE,UNDER MIDTOWN TUNNEL EXPWY,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,998518,209413,40.741456,-73.948511,<Null>
847,Point,785,cd1624a89262a084d4fea33a96d08d12,4,13432,30,4134320030,4134320030,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1050048,178473,40.6563,-73.762858,<Null>
851,Point,810,d1401dc6d8b851fcfb424d9ac496e3b6,4,13433,53,4134330053,4134330053,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049755,177953,40.654875,-73.763919,<Null>
852,Point,811,d1badf0d5872e1b1c992245c5d3f1f1e,4,13432,32,4134320032,4134320032,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1050024,178418,40.656149,-73.762945,<Null>
854,Point,821,d44db52ec7d5411aa6ab83b44f2956aa,4,2552,75,4025520075,4025520075,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1005682,203869,40.726224,-73.922676,<Null>
856,Point,875,e9b0b7422fa3dce678e3e42925218cbe,4,13433,69,4134330069,4134330069,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049718,178285,40.655786,-73.764049,<Null>
857,Point,895,eeb348f9babda5528e911bc8b73ffe36,4,13433,45,4134330045,4134330045,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049814,177943,40.654847,-73.763706,<Null>
858,Point,899,efae7e9807cc89c4e9c7d87d4afbbe5d,4,13433,36,4134330036,4134330036,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049821,178139,40.655385,-73.763679,<Null>
859,Point,900,efc64c49b6a1293463662e32404060bf,4,2599,49,4025990049,4025990049,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1008542,201831,40.720623,-73.912365,<Null>
860,Point,902,f011d8f16b663e57a9066c38025dd938,4,14260,144,4142600144,4142600144,483,<Null>,SOUTH CONDUIT BOULEVARD,SOUTH CONDUIT BOULEVARD,PARK,DOT,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1030808,181581,40.664953,-73.832179,<Null>
861,Point,915,f427339a0c23471d1718a67ffbf1d1f1,4,13433,55,4134330055,4134330055,413,<Null>,183 STREET,183 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049746,177992,40.654982,-73.763951,<Null>
862,Point,916,f457125767444867331a72ab327df89f,4,10059,10,4100590010,4100590010,412,14726,105 AVENUE,14726 105 AVENUE,<Null>,HPD,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,D,<Null>,1038919,192933,40.696065,-73.80285,<Null>
867,Point,955,fd21b0b4c2399350254bb9142e0e046c,4,2575,244,4025750244,4025750244,402,<Null>,49 LANE,49 LANE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006979,202899,40.723559,-73.918,<Null>
869,Point,965,ff817f6007ac697876493f7dfd95165c,4,276,46,4002760046,4002760046,402,<Null>,QUEENS BOULEVARD,QUEENS BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1002574,210976,40.745738,-73.93387,<Null>
870,Point,967,ff9e665a333cf970cd8b52ddd98cc5fa,4,13433,29,4134330029,4134330029,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049903,178139,40.655384,-73.763384,<Null>
875,Point,31,0790c88abcbb66f07cc6aa2a7a3aa7f3,4,13432,23,4134320023,4134320023,413,<Null>,150 AVENUE,150 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049957,178524,40.65644,-73.763185,<Null>
876,Point,36,07f380ab2b370c7d8786ccbaad0509fb,4,13433,35,4134330035,4134330035,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049833,177978,40.654943,-73.763638,<Null>
881,Point,113,1aa256c00d1d5f6bdd5484fc6eafad67,4,13433,5,4134330005,4134330005,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049767,178366,40.656008,-73.763872,<Null>
882,Point,118,1c659d9e664ee2cb667b8a962d699e0b,4,2545,54,4025450054,4025450054,402,<Null>,48 STREET,48 STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006617,205498,40.730693,-73.919297,<Null>
883,Point,121,1d073fea99d406fbe474701472278874,4,312,17,4003120017,4003120017,402,<Null>,LAUREL HILL BOULEVARD,LAUREL HILL BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1001212,206622,40.73379,-73.938796,<Null>
884,Point,131,1fde83f9cdbb8a728cef5edb9930e422,4,14260,85,4142600085,4142600085,413,<Null>,<Null>,<Null>,<Null>,DSBS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1045728,180682,40.662394,-73.778407,<Null>
885,Point,136,20859cdc952def322c0a3b361a8d600e,4,2602,325,4026020325,4026020325,405,<Null>,49 PLACE,49 PLACE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006171,201822,40.720605,-73.920919,<Null>
888,Point,160,25bf944bd80c1c1964b0e39ac7da2f1b,4,13433,23,4134330023,4134330023,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049943,178228,40.655628,-73.763239,<Null>
891,Point,193,2c1d5a43c4c8283ddfd88972a2449528,4,13433,15,4134330015,4134330015,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049885,178277,40.655763,-73.763447,<Null>
892,Point,202,3026f3316ac8f3bb3b03d2c3eb432813,4,2599,45,4025990045,4025990045,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1008519,201869,40.720727,-73.912448,<Null>
896,Point,240,3b773cf366994226017a5671bcd504dd,4,13432,26,4134320026,4134320026,413,<Null>,150 AVENUE,150 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049993,178508,40.656396,-73.763056,<Null>
897,Point,256,3e641eabe9ffa645be788e0dbdfee437,4,13432,59,4134320059,4134320059,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049700,178528,40.656453,-73.764112,<Null>
898,Point,259,3ee1b2e4331c6b06644be82117b15090,4,13419,1,4134190001,4134190001,413,18112,150 DRIVE,18112 150 DRIVE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049398,178167,40.655465,-73.765203,<Null>
899,Point,261,3f3859283b7baf5720707cb081bf6a7a,4,13432,28,4134320028,4134320028,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1050063,178509,40.656398,-73.762803,<Null>
901,Point,266,4101e302b80b0e808c13f9eea8dedb76,4,13433,20,4134330020,4134330020,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049971,178289,40.655795,-73.763137,<Null>
902,Point,291,49728c2c767b45513ec3d61b01a2094f,4,13432,20,4134320020,4134320020,413,<Null>,SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049887,178541,40.656488,-73.763437,<Null>
906,Point,322,534de2ab82331ea2f7034400325029a9,4,2575,58,4025750058,4025750058,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006598,203789,40.726002,-73.919372,<Null>
908,Point,340,584d5e7f2ec60bb8473c7e34cef002e5,4,13433,10,4134330010,4134330010,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049827,178318,40.655876,-73.763656,<Null>
910,Point,343,58f76f538925263f360033fba8e21b85,4,2552,142,4025520142,4025520142,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006238,203812,40.726067,-73.92067,<Null>
911,Point,353,5b5f443b1bf306ecb9c020a5a48c8053,4,2611,80,4026110080,4026110080,405,<Null>,GRAND AVENUE,GRAND AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1005797,200311,40.716458,-73.922273,<Null>
912,Point,355,5bedc0ceb93ebd5a2fb22c0f4d19e133,4,2575,70,4025750070,4025750070,402,3,56 ROAD,3 56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1006968,203697,40.725749,-73.918037,<Null>
913,Point,357,5d25437af6fa3b845f9ec2601ec1105f,4,1210,34,4012100034,4012100034,402,<Null>,38 AVENUE,38 AVENUE,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1009985,212396,40.749617,-73.907119,<Null>
915,Point,382,642349c40cea2caa8a9cb7d0ded9e537,4,13433,2,4134330002,4134330002,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049712,178402,40.656107,-73.764069,<Null>
916,Point,387,6534948273312d06dcb3ea34aa69dc8a,4,2552,100,4025520100,4025520100,402,<Null>,56 ROAD,56 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1005655,203954,40.726458,-73.922773,<Null>
918,Point,402,6b98ac877eb5a03bce43236f4ef21c51,4,13432,67,4134320067,4134320067,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049642,178527,40.656451,-73.764321,<Null>
919,Point,434,746443541e42448265708ba7ede00768,4,2622,100,4026220100,4026220100,405,<Null>,RUST STREET,RUST STREET,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1009171,200923,40.718129,-73.910099,<Null>
920,Point,452,78b7add6d719b90b1de4b3a4a0512b8b,4,13432,65,4134320065,4134320065,413,<Null>,150 ROAD,150 ROAD,<Null>,DCAS,1520,NO USE-VACANT LAND,C,3,8,PROPERTY WITH NO USE,<Null>,<Null>,<Null>,1049666,178519,40.656429,-73.764234,<Null>
